accession,assembly_name,assembly_level,strain,host_group,host_or_source,host_group_description,inferred_subspecies_from_ani,geo_loc_name,release_date,sequence_length,gc_percent_ncbi,checkm_completeness,checkm_contamination,fasta,ncbi_ftp_url,selection_note
GCF_021459925.1,ASM2145992v1,Complete Genome,Stag's Leap,grapevine,Vitis vinifera,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,"USA:Napa County, California",2022-01-13,2543277,52,97.26,0.17,data\fastas\GCF_021459925.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/021/459/925/GCF_021459925.1_ASM2145992v1/GCF_021459925.1_ASM2145992v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_028227635.1,ASM2822763v1,Complete Genome,CFBP8083,grapevine,Vitis vinifera,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: North Carolina,2023-01-30,2515619,51.5,97.26,0.17,data\fastas\GCF_028227635.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/227/635/GCF_028227635.1_ASM2822763v1/GCF_028227635.1_ASM2822763v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_014249995.1,ASM1424999v1,Complete Genome,GV230,grapevine,Vitis labrusca x Vitis vinifera cultivar Black Queen,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,"Taiwan: Waipu District, Taichung City",2020-08-19,2514993,51.5,97.26,0.17,data\fastas\GCF_014249995.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/014/249/995/GCF_014249995.1_ASM1424999v1/GCF_014249995.1_ASM1424999v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_028227275.1,ASM2822727v1,Complete Genome,WM1-1,grapevine,Vitis vinifera,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: Georgia,2023-01-30,2514513,51.5,97.26,0.17,data\fastas\GCF_028227275.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/227/275/GCF_028227275.1_ASM2822727v1/GCF_028227275.1_ASM2822727v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_055766035.1,ASM5576603v1,Complete Genome,CFBP7969,grapevine,Vitis rotundifolia cv Carlos,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: North Carolina Horticultural crops research station Castle Hayne,2026-03-10,2512899,51.5,97.16,0.17,data\fastas\GCF_055766035.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/766/035/GCF_055766035.1_ASM5576603v1/GCF_055766035.1_ASM5576603v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_011801475.1,ASM1180147v1,Complete Genome,ATCC 35879,grapevine,Grapevine,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: Florida,2020-03-31,2607257,52,94.4,0.05,data\fastas\GCF_011801475.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/011/801/475/GCF_011801475.1_ASM1180147v1/GCF_011801475.1_ASM1180147v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_004016315.2,ASM401631v2,Complete Genome,CFBP 7970,grapevine,grapevine,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: Florida,2025-12-18,2600843,52,96.01,0.17,data\fastas\GCF_004016315.2.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/016/315/GCF_004016315.2_ASM401631v2/GCF_004016315.2_ASM401631v2_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_055766025.1,ASM5576602v1,Complete Genome,CFBP 7970,grapevine,grapevine,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: Florida,2026-03-10,2642619,51.5,96.74,0.17,data\fastas\GCF_055766025.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/055/766/025/GCF_055766025.1_ASM5576602v1/GCF_055766025.1_ASM5576602v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_028891345.1,ASM2889134v1,Complete Genome,ICMP 15197,grapevine,Vitis vinifera,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: Florida,2023-03-01,2600197,52,97.07,0.17,data\fastas\GCF_028891345.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/891/345/GCF_028891345.1_ASM2889134v1/GCF_028891345.1_ASM2889134v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
GCF_053901445.1,ASM5390144v1,Complete Genome,TemeculaL,grapevine,Vitis vinifera,Vitis/grape-associated assemblies; Pierce's disease context,not_resolved,USA: California,2025-12-10,2593391,51.5,96.77,0.17,data\fastas\GCF_053901445.1.fna,https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/053/901/445/GCF_053901445.1_ASM5390144v1/GCF_053901445.1_ASM5390144v1_genomic.fna.gz,RefSeq assembly; quality-filtered; complete/chromosome preferred before scaffold within host group
