accession_a,accession_b,sequence_feature_distance,audio_feature_distance
GCF_011801475.1,GCF_028891345.1,0.008296555882182246,0.10856338526584774
GCF_011801475.1,GCF_001456235.1,0.010912672438641543,0.28161289286184227
GCF_011801475.1,GCF_001456195.2,0.011388472892131548,0.27104157690571723
GCF_011801475.1,GCF_001456275.1,0.010472699664919486,0.3271546040911787
GCF_011801475.1,GCF_001456295.2,0.010004293831237117,0.29619178946236974
GCF_011801475.1,GCF_032594475.1,0.008780948794315742,0.12275478877279444
GCF_011801475.1,GCF_032594455.1,0.00881009697120159,0.12333752886466323
GCF_011801475.1,GCF_002954205.1,0.009690610512179582,0.182364958377349
GCF_011801475.1,GCF_042243345.1,0.006150539472474685,0.18882493844185677
GCF_011801475.1,GCF_042239055.1,0.00798519076822454,0.14084539118841816
GCF_011801475.1,GCF_055765255.1,0.007246770246968347,0.17532537013097294
GCF_011801475.1,GCF_012974125.1,0.011457800997735287,0.5489917492080909
GCF_011801475.1,GCF_012974145.1,0.013206880688900928,1.2948835216070573
GCF_011801475.1,GCF_021459905.1,0.009524997974789978,0.24447175603171994
GCF_011801475.1,GCF_004023395.2,0.008797912911875087,0.39426966076269576
GCF_011801475.1,GCF_000019325.1,0.008119499087511426,0.20351192357056955
GCF_011801475.1,GCF_000019765.1,0.0071949828198389605,0.15102452306008843
GCF_011801475.1,GCF_000007245.1,0.008866544833470963,0.3127691561916832
GCF_011801475.1,GCF_000006725.1,0.011571232688263006,1.0399836475056374
GCF_028891345.1,GCF_001456235.1,0.008844088490882942,0.22779870261229418
GCF_028891345.1,GCF_001456195.2,0.009348530946849228,0.18489835653888978
GCF_028891345.1,GCF_001456275.1,0.010799072605358393,0.2623274355200601
GCF_028891345.1,GCF_001456295.2,0.01238420564197464,0.20580563788995176
GCF_028891345.1,GCF_032594475.1,0.005489276864380881,0.10366713336757975
GCF_028891345.1,GCF_032594455.1,0.005527040710212453,0.09990604022442812
GCF_028891345.1,GCF_002954205.1,0.009084787515265879,0.1181426018493445
