accession,paired,source,level,strain,host,geo,subspecies,length,gc,release
GCA_028891345.1,GCF_028891345.1,SOURCE_DATABASE_GENBANK,Complete Genome,ICMP 15197,Vitis vinifera,USA: Florida,missing,2600197,52,2023-03-01
GCF_028891345.1,GCA_028891345.1,SOURCE_DATABASE_REFSEQ,Complete Genome,ICMP 15197,Vitis vinifera,USA: Florida,missing,2600197,52,2023-03-01
GCA_011801475.1,GCF_011801475.1,SOURCE_DATABASE_GENBANK,Complete Genome,ATCC 35879,Grapevine,USA: Florida,,2607257,52,2020-03-31
GCF_011801475.1,GCA_011801475.1,SOURCE_DATABASE_REFSEQ,Complete Genome,ATCC 35879,Grapevine,USA: Florida,,2607257,52,2020-03-31
GCA_001456315.1,GCF_001456315.1,SOURCE_DATABASE_GENBANK,Complete Genome,Hib4,Hibiscus,"Brazil: Jarinu, Sao Paulo",,2877548,52.5,2015-12-03
GCF_001456315.1,GCA_001456315.1,SOURCE_DATABASE_REFSEQ,Complete Genome,Hib4,Hibiscus,"Brazil: Jarinu, Sao Paulo",,2877548,52.5,2015-12-03
GCA_001456235.1,GCF_001456235.1,SOURCE_DATABASE_GENBANK,Complete Genome,J1a12,Citrus,"Brazil: Jales, Sao Paulo",,2867237,53,2015-12-03
GCF_001456235.1,GCA_001456235.1,SOURCE_DATABASE_REFSEQ,Complete Genome,J1a12,Citrus,"Brazil: Jales, Sao Paulo",,2867237,53,2015-12-03
GCA_001456195.2,GCF_001456195.2,SOURCE_DATABASE_GENBANK,Complete Genome,3124,Coffee,"Brazil: Matao, Sao Paulo",,2748592,52.5,2020-11-13
GCF_001456195.2,GCA_001456195.2,SOURCE_DATABASE_REFSEQ,Complete Genome,3124,Coffee,"Brazil: Matao, Sao Paulo",,2748592,52.5,2020-11-13
GCA_001456275.1,GCF_001456275.1,SOURCE_DATABASE_GENBANK,Complete Genome,U24D,Citrus sinensis,"Brazil: Ubarana, Sao Paulo",,2732490,52.5,2015-12-03
GCF_001456275.1,GCA_001456275.1,SOURCE_DATABASE_REFSEQ,Complete Genome,U24d,Citrus sinensis,"Brazil: Ubarana, Sao Paulo",,2732490,52.5,2015-12-03
GCA_001456295.2,GCF_001456295.2,SOURCE_DATABASE_GENBANK,Complete Genome,Pr8x,Plum,"Brazil: Jarinu, Sao Paulo",,2705820,52.5,2020-11-13
GCF_001456295.2,GCA_001456295.2,SOURCE_DATABASE_REFSEQ,Complete Genome,Pr8x,Plum,"Brazil: Jarinu, Sao Paulo",,2705820,52.5,2020-11-13
GCA_032594475.1,GCF_032594475.1,SOURCE_DATABASE_GENBANK,Complete Genome,CFBP8478,Coffea arabica,France: Plant intercepted in from Costa Rica,,2676633,52,2023-10-12
GCF_032594475.1,GCA_032594475.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CFBP8478,Coffea arabica,France: Plant intercepted in from Costa Rica,,2676633,52,2023-10-12
GCA_032594455.1,GCF_032594455.1,SOURCE_DATABASE_GENBANK,Complete Genome,CO33,Coffea arabica,Italy: Plant intercepted in from Costa Rica,,2676561,52,2023-10-12
GCF_032594455.1,GCA_032594455.1,SOURCE_DATABASE_REFSEQ,Complete Genome,CO33,Coffea arabica,Italy: Plant intercepted in from Costa Rica,,2676561,52,2023-10-12
